name,type,contactPerson,phone,email,address,kraPin,paymentTermsDays,chargeVat,vatMode,openingBalance
MALENYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MARENDE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MARENYO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
Matumbai blm,SCHOOL,,,,,,30,,,0
MAWERE COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
MIRO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MLELE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUCHULA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUHANDA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUKHOMBE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MULWAHI COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
MULWANDA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
Mumias Complex,SCHOOL,,,,,,30,,,0
MUNDEKU JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUNDICHIRI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUNDOLI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUNGOYE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUNJECHE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUNYANZA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MUSHICHIBULU JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUSHINAKA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUSINAAKA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MUSITINYI SPECIAL SCHOOL,SCHOOL,,,,,,30,,,0
MWISENA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
NDERE MIXED JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
NDIRU JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
NDUTA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
NYALUNYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
NYAWARA COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
